canonical_id,cnn_exp1,cnn_exp2,cnn_exp3,cnn_exp4,cnn_exp5,gat_exp1,gat_exp2,gat_exp3,gat_exp4,gat_exp5,gcn_exp1,gcn_exp2,gcn_exp3,gcn_exp4,gcn_exp5,gnn_exp1,gnn_exp2,gnn_exp3,gnn_exp4,gnn_exp5
box2405,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True
box2417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box2419,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
box2464,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
box262,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True
box2689,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,False
box2690,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box2704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box2707,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
box2708,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
box2720,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
box2721,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,True,False
box2742,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
box2749,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False
box2756,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
box2762,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box2777,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box2778,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box2779,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
box2780,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
box279,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box2838,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box3063,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3066,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True
box3067,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,True
box3070,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True
box3071,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
box3077,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
box3083,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
box3084,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
box3087,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box3098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box3099,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False
box3110,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box3116,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,True
box3117,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True
box3122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box3123,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box3125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
box3133,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False
box3280,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
box3294,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True
box3308,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
box3309,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False
box3335,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box3407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box3409,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box3418,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True
box3422,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3424,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box3433,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box3434,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3446,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box3448,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3449,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
box3462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box3467,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box3469,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
box3473,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
box3487,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False
box3493,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
box3499,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3636,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True,True,True,True
box3640,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box3651,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True
box3652,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
box3655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3680,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box3681,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box3740,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
box3772,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True
box3777,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3787,False,False,False,False,False,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True
box3794,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True
box3807,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box3808,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3830,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
box3832,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True
box3834,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3845,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True
box3847,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,False
box3848,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,False
box3851,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
box3852,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False
box3858,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
box3859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box3866,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
box3867,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True
box3999,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False
box4015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box4028,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True
box4029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box4041,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
box4069,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4070,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box4084,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box4099,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box4112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box4127,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
box4131,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4132,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
box4136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
box4142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box4145,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
box4162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box4182,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False
box4185,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
box4189,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True
box4192,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
box4207,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True
box4211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box4219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box4226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4227,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box4228,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False
box4345,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4369,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box4375,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False
box4388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box4398,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True
box4399,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True
box4400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
box4401,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
box4413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box4458,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box4474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
box4475,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True
box4476,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
box4483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box4487,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
box4491,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True
box4498,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
box4514,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True
box4522,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4529,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box4530,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True
box4545,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4550,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
box4552,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False
box4563,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4565,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True
box4566,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True
box4567,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True
box4573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4584,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box4587,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4715,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box4762,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,True,True
box4763,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
box4775,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True
box4776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
box4777,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,True
box4802,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
box4806,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
box4807,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
box4820,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False
box4821,False,False,False,False,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True
box4823,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box4833,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False
box4835,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box4836,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box4853,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
box4866,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box4895,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box4922,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box4926,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
box4927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box5090,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
box5110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box5162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5163,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box5207,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
box5217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box5241,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True
box5246,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5255,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
box5258,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True
box5266,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True
box5268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5279,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
box5291,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box5292,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
box5302,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False
box5303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
box5305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
box5307,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
box5313,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5315,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
box5316,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
box5317,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False
box5318,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True
box5345,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
box5450,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
box5465,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True
box5478,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box5483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
box5493,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5495,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
box5507,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box5522,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5538,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box5559,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box5567,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5603,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True
box5604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True
box5611,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
box5612,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box5626,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
box5627,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5633,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
box5634,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5645,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box5648,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
box5657,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box5677,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,True,True
box5704,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False
box5709,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False
box5812,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True
box5840,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5842,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
box5883,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True
box5887,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5943,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box5960,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
box5963,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,True,True,True
box5964,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False
box5990,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
box6002,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True
box6007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box6008,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True
box6016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
box6017,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
box6022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box6048,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box606,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True
box6065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box607,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True
box6188,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False
box6235,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False
box6244,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True
box6245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box6260,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
box6275,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,True,False,False,False,True
box6294,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,True,True,True
box6302,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
box6303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box6331,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False
box6335,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box6346,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box6347,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
box6350,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True
box6364,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box6376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box6377,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
box6396,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True
box6408,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True
box6414,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
box6423,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
box6593,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
box6594,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True
box6604,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
box6605,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,True,True,True,True
